Designator,Mid X,Mid Y,Layer,Rotation
LED14,328.6125,-43.1800,bottom,0.00
LED15,347.6625,-43.1800,bottom,0.00
LED16,366.7125,-43.1800,bottom,0.00
LED17,38.1000,-71.7550,bottom,0.00
LED18,57.1500,-71.7550,bottom,0.00
LED19,76.2000,-71.7550,bottom,0.00
LED2,76.2000,-43.1800,bottom,0.00
LED20,95.2500,-71.7550,bottom,0.00
LED21,114.3000,-71.7550,bottom,0.00
LED22,133.3500,-71.7550,bottom,0.00
LED23,152.4000,-71.7550,bottom,0.00
LED24,171.4500,-71.7550,bottom,0.00
LED25,190.5000,-71.7550,bottom,0.00
LED26,209.5500,-71.7550,bottom,0.00
LED27,228.6000,-71.7550,bottom,0.00
LED28,247.6500,-71.7550,bottom,0.00
LED29,266.7000,-71.7550,bottom,0.00
LED3,95.2500,-43.1800,bottom,0.00
LED30,295.2750,-71.7550,bottom,0.00
LED31,328.6125,-71.7550,bottom,0.00
LED32,347.6625,-71.7550,bottom,0.00
LED33,366.7125,-71.7550,bottom,0.00
LED34,390.5250,-71.7550,bottom,0.00
LED35,409.5750,-71.7550,bottom,0.00
LED36,428.6250,-71.7550,bottom,0.00
LED37,447.6750,-71.7550,bottom,0.00
LED38,42.8625,-90.8050,bottom,0.00
LED39,66.6750,-90.8050,bottom,0.00
LED4,114.3000,-43.1800,bottom,0.00
LED40,85.7250,-90.8050,bottom,0.00
LED41,104.7750,-90.8050,bottom,0.00
LED42,123.8250,-90.8050,bottom,0.00
LED43,142.8750,-90.8050,bottom,0.00
LED44,161.9250,-90.8050,bottom,0.00
LED45,180.9750,-90.8050,bottom,0.00
LED46,200.0250,-90.8050,bottom,0.00
LED47,219.0750,-90.8050,bottom,0.00
LED48,238.1250,-90.8050,bottom,0.00
LED49,257.1750,-90.8050,bottom,0.00
LED5,133.3500,-43.1800,bottom,0.00
LED50,276.2250,-90.8050,bottom,0.00
LED51,328.6125,-90.8050,bottom,0.00
LED52,347.6625,-90.8050,bottom,0.00
LED53,366.7125,-90.8050,bottom,0.00
LED54,390.5250,-90.8050,bottom,0.00
LED55,409.5750,-90.8050,bottom,0.00
LED56,428.6250,-90.8050,bottom,0.00
LED57,447.6750,-100.3300,bottom,0.00
LED58,45.2437,-109.8550,bottom,0.00
LED59,71.4375,-109.8550,bottom,0.00
LED6,161.9250,-43.1800,bottom,0.00
LED60,90.4875,-109.8550,bottom,0.00
LED61,109.5375,-109.8550,bottom,0.00
LED62,128.5875,-109.8550,bottom,0.00
LED63,147.6375,-109.8550,bottom,0.00
LED64,166.6875,-109.8550,bottom,0.00
LED65,185.7375,-109.8550,bottom,0.00
LED66,204.7875,-109.8550,bottom,0.00
LED67,223.8375,-109.8550,bottom,0.00
LED68,242.8875,-109.8550,bottom,0.00
LED69,261.9375,-109.8550,bottom,0.00
LED7,180.9750,-43.1800,bottom,0.00
LED70,280.9875,-109.8550,bottom,0.00
LED71,302.4187,-100.3300,bottom,0.00
LED72,390.5250,-109.8550,bottom,0.00
LED73,409.5750,-109.8550,bottom,0.00
LED74,428.6250,-109.8550,bottom,0.00
LED75,40.4813,-128.9050,bottom,0.00
LED76,61.9125,-128.9050,bottom,0.00
LED77,80.9625,-128.9050,bottom,0.00
LED78,100.0125,-128.9050,bottom,0.00
LED79,119.0625,-128.9050,bottom,0.00
LED8,200.0250,-43.1800,bottom,0.00
LED80,138.1125,-128.9050,bottom,0.00
LED81,157.1625,-128.9050,bottom,0.00
LED82,176.2125,-128.9050,bottom,0.00
LED83,195.2625,-128.9050,bottom,0.00
LED84,214.3125,-128.9050,bottom,0.00
LED85,233.3625,-128.9050,bottom,0.00
LED86,252.4125,-128.9050,bottom,0.00
LED87,288.1313,-128.9050,bottom,0.00
